model,bleu1,bleu2,bleu4,rouge1,rouge2,rougeL
base,0.16585840576194558,0.09706162498607866,0.03204406166130495,0.42265437998573113,0.12726026447257457,0.10104381932485737
lora,0.194307504138142,0.11284711077839131,0.049755596477778996,0.3107481485202347,0.07344300226458386,0.15743282206765352
